ENTITY ID | FRIENDLY NAME
device_tracker.pc_a8_80_55_6e_3a_5c | PC-A8-80-55-6E-3A-5C
device_tracker.c021n00018 | C021N00018
device_tracker.hubv3_04021234138 | hubv3-04021234138
device_tracker.desktop_g3e9gmi | DESKTOP-G3E9GMI
device_tracker.pc_58_b8_58_fd_8a_93 | PC-58-B8-58-FD-8A-93
device_tracker.desktop_imvc5a1 | DESKTOP-IIEAA4E
device_tracker.tapo_smartplug_2 | Tapo-SmartPlug
device_tracker.galaxy_s10 | Galaxy-S10
device_tracker.android | Android
device_tracker.desktop_ti2nbbo | DESKTOP-TI2NBBO
device_tracker.desktop_g3e9gmi_2 | DESKTOP-G3E9GMI
device_tracker.raspberrypi | reidhomeassistant
device_tracker.homeassistant | reidhomeassistant
binary_sensor.fritz_box_6690_cable_verbindung | Verbindung
sensor.fritz_box_6690_cable_externe_ip | Externe IP
binary_sensor.fritz_box_6690_cable_verbinden | Verbinden
sensor.fritz_box_6690_cable_externe_ipv6 | Externe IPv6
image.fritz_box_6690_cable_fritz_box_gastzugang | FRITZ!Box Gastzugang
sensor.fritz_box_6690_cable_letzter_neustart | Letzter Neustart
sensor.fritz_box_6690_cable_verbindungsverfugbarkeit | Verbindungsverfügbarkeit
switch.fritz_box_6690_cable_wi_fi_reid15_s_highspeed_track_2_4ghz | FRITZ!Box 6690 Cable Wi-Fi REID15's Highspeed Track (2.4Ghz)
switch.fritz_box_6690_cable_wi_fi_reid15_s_highspeed_track_5ghz | FRITZ!Box 6690 Cable Wi-Fi REID15's Highspeed Track (5Ghz)
switch.fritz_box_6690_cable_wi_fi_fritz_box_gastzugang | FRITZ!Box 6690 Cable Wi-Fi FRITZ!Box Gastzugang
switch.l900_internet_access | L900 Internet Access
switch.l900_internet_access_2 | L900 Internet Access
switch.tapo_smartplug_internet_access | Tapo-SmartPlug Internet Access
switch.l900_internet_access_3 | L900 Internet Access
switch.presence_sensor_fp2_f9cf_internet_access | Presence-Sensor-FP2-F9CF Internet Access
switch.none_2_internet_access | none Internet Access
switch.kl430_internet_access | KL430 Internet Access
switch.kh100_internet_access | KH100 Internet Access
switch.l900_internet_access_4 | L900 Internet Access
switch.pc_a8_80_55_f9_79_65_internet_access | PC-A8-80-55-F9-79-65 Internet Access
switch.l900_internet_access_5 | L900 Internet Access
switch.p115_internet_access | P115 Internet Access
switch.fuchsia_ac67_8427_9a76_internet_access | fuchsia-ac67-8427-9a76 Internet Access
switch.l530_internet_access | L530 Internet Access
switch.l530_internet_access_2 | L530 Internet Access
switch.redmi_note_12_pro_5g_internet_access | Redmi-Note-12-Pro-5G Internet Access
switch.wlan0_internet_access | wlan0 Internet Access
switch.wlan0_internet_access_2 | wlan0 Internet Access
switch.linux_internet_access | linux-3 Internet Access
switch.wlan0_internet_access_3 | wlan0 Internet Access
switch.wlan0_internet_access_4 | wlan0 Internet Access
switch.aqara_hub_e1_ec77_internet_access | Aqara-Hub-E1-EC77 Internet Access
switch.iphone_internet_access | iPhone Internet Access
switch.desktop_dingvfm_internet_access | DESKTOP-DINGVFM Internet Access
switch.roborock_vacuum_a38_internet_access | roborock-vacuum-a38 Internet Access
switch.pc_a8_80_55_6e_3a_5c_internet_access | PC-A8-80-55-6E-3A-5C Internet Access
switch.c021n00018_internet_access | C021N00018 Internet Access
switch.hubv3_04021234138_internet_access | hubv3-04021234138 Internet Access
switch.desktop_g3e9gmi_internet_access | DESKTOP-G3E9GMI Internet Access
switch.pc_58_b8_58_fd_8a_93_internet_access | PC-58-B8-58-FD-8A-93 Internet Access
switch.desktop_imvc5a1_internet_access | DESKTOP-IIEAA4E Internet Access
switch.tapo_smartplug_internet_access_2 | Tapo-SmartPlug Internet Access
switch.galaxy_s10_internet_access | Galaxy-S10 Internet Access
switch.android_internet_access | Android Internet Access
switch.desktop_ti2nbbo_internet_access | DESKTOP-TI2NBBO Internet Access
